#{"t_start": 1742072815.867078, "env_id": "None"}
r,l,t
-92.206133,100,11.655001
-106.214652,100,12.88516
-119.224479,100,15.273471
-116.629456,100,18.97006
-91.509783,100,22.668707
-80.20225,100,26.374962
-97.720515,100,30.648263
-115.885896,100,34.546941
-114.76269,100,38.384622
-118.736429,100,42.408897
-114.275001,100,46.908993
-108.484305,100,51.362914
-122.980757,100,55.409344
-122.839705,100,59.338261
-75.363285,100,63.480849
-116.187339,100,67.699084
-133.208309,100,71.902933
-87.791597,100,76.161876
-118.27914,100,80.330307
-120.892746,100,84.472649
-89.871511,100,88.395272
-126.41255,100,92.77659
-119.113917,100,96.85565
-92.780396,100,101.386608
-102.317514,100,105.905306
-116.860256,100,110.53944
-94.825341,100,114.502367
-115.594384,100,118.77945
-119.687995,100,123.032573
-114.869086,100,127.726681
-99.88094,100,134.136
-73.343526,100,139.413018
-108.888862,100,144.897037
-123.264765,100,150.406733
-114.191017,100,157.283676
-109.250956,100,163.258357
-119.607351,100,168.849717
-79.700518,100,175.523548
-109.155669,100,181.808654
-123.953471,100,188.37439
-119.732339,100,194.703662
-82.494979,100,201.092444
-109.468808,100,207.766627
-84.454605,100,212.024324
-117.612801,100,216.182736
-104.98917,100,220.791322
-104.290056,100,225.340209
-111.567154,100,229.354106
-116.722372,100,233.332501
-121.292552,100,237.418364
